Base,Latitude,Longitude,AFSC
ABERDEEN PROV GND,53.79762,-1.60235,"['61C1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF']"
ALCONBURY,52.368599,-0.25987,"['32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '65F1']"
ALTUS,34.66639,-99.26806,"['21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '64P1', '65F1']"
ANDERSEN,13.57611,144.92444,"['15W1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '64P1', '65F1']"
ANDREWS,38.81382,-76.85788,"['13H1', '21R1', '31P1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1', '71S1']"
ARNOLD,35.3925,-86.08583,"['61D1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1H - USAF', '63A1 - USAF', '65F1']"
AVIANO,46.03139,12.59694,"['21A1', '21M1', '21R1', '31P1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '38F1', '64P1', '65F1']"
BARKSDALE,32.50194,-93.66278,"['14F1', '15A1', '15W1', '21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '61D1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '64P1', '65F1', '71S1']"
BEALE,39.13611,-121.43639,"['21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '64P1', '65F1']"
BOSTON CITY,42.462913,-71.28349,"['62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF']"
BUCKLEY,39.70167,-104.75167,"['32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '61D1', '62E1A - USAF', '62E1A - USSF', '62E1B - USAF', '62E1B - USSF', '62E1C - USSF', '62E1E - USSF', '62E1G - USSF', '62E1H - USSF', '62E1I - USSF', '63A1 - USSF', '64P1', '65F1']"
CANNON,34.38278,-103.32222,"['14F1', '15W1', '21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1']"
CAPE CANAVERAL,28.40584,-80.60477,"['62E1A - USSF', '62E1B - USSF', '62E1C - USSF', '62E1E - USSF', '62E1G - USSF', '62E1H - USSF', '62E1I - USSF', '63A1 - USSF']"
CHARLOTTESVILLE,38.157425,-78.412743,"['61C1', '61D1']"
COLORADO SPRINGS,41.6663,-91.511,"['61D1', '62E1A - USSF', '62E1B - USSF', '62E1C - USSF', '62E1E - USSF', '62E1G - USSF', '62E1H - USSF', '62E1I - USSF', '63A1 - USSF']"
COLUMBUS,33.64389,-88.44389,"['13H1', '15W1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1', '92T0']"
CREECH,36.58722,-115.67333,"['21A1', '21M1', '35P1']"
DAVIS-MONTHAN,32.16639,-110.88306,"['14F1', '15A1', '15W1', '21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1', '71S1']"
DOVER,39.12833,-75.46472,"['21A1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1']"
DYESS,32.42083,-99.85472,"['15A1', '15W1', '21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '64P1', '65F1']"
EDWARDS,34.90556,-117.88361,"['15A1', '21A1', '38F1', '61C1', '61D1', '62E1A - USAF', '62E1B - USAF', '62E1B - USSF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '64P1', '65F1', '71S1']"
EGLIN,30.483,-86.533,"['13M1', '15A1', '21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '61C1', '61D1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF', '64P1', '65F1', '71S1']"
EIELSON,64.66556,-147.10139,"['21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1']"
ELLSWORTH,44.145,-103.10361,"['15W1', '21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1']"
FAIRCHILD,47.615,-117.65556,"['21A1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '64P1', '65F1']"
FE WARREN,41.13306,-104.86694,"['13N1', '21M1', '21R1', '31P1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1']"
FT BELVOIR,38.722158,-77.14994936,['61D1']
FT CAMPBELL,36.642222,-87.447569,['15W1']
FT CARSON,38.750269,-104.801462,['15W1']
FT CAVAZOS,31.126989,-97.793265,['15W1']
FT GEORGE MEADE,39.10694,-76.74306,"['62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF']"
FT GORDON,33.398972,-82.121972,"['38F1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF']"
FT LIBERTY (airborne),35.125307,-79.002198,['15W1']
FT RUCKER,31.337363,-85.715008,['92T0H']
FT STEWART,31.874486,-81.587671,['15W1']
GOODFELLOW,31.42944,-100.39889,"['14N1 - USAF', '14N1 - USSF', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1']"
GRAND FORKS,47.96111,-97.40111,"['21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '38F1', '64P1', '65F1']"
HANSCOM,42.47,-71.28917,"['62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1E - USSF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF', '64P1', '65F1', '71S1']"
HILL,41.12389,-111.97278,"['13M1', '15A1', '21A1', '21M1', '21R1', '61D1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF', '64P1', '65F1', '71S1']"
HOLLOMAN,32.8525,-106.10639,"['15W1', '21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF', '64P1', '65F1']"
HURLBURT FIELD,30.42778,-86.68944,"['14F1', '21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF', '64P1', '65F1', '71S1']"
INCIRLIK,37.00194,35.42583,['64P1']
JB ANACOSTIA BOLLING,38.84278,-77.01611,"['32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '63A1 - USAF', '64P1', '65F1', '71S1']"
JB CHARLESTON,32.89861,-80.04056,"['21A1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1']"
